numberrange_x,numberrange_y
-60.2594651136, 83.5472722944
61.2413822976, -63.5736646656
-36.9741910016, -52.5275547648
61.3356137472, -25.0285768704
26.8137242624, -162.7194600448
0.544492032, 78.5804514304
77.2308151296, 74.9907418112
-75.3663762432, -152.3718868992
-81.9324722176, -153.3177263104
-78.8464074752, 135.8332439552
24.0846984192, -67.2501436416
-50.9141470208, -164.2830094336
-30.7014567936, -161.3103538176
71.7980735488, 13.7785885696
88.7418202112, 65.84256
-55.6647339008, 71.427362304
-22.7082925056, 21.8895458304
39.9618331648, -32.228463616
89.953655296, 152.345158144
87.3619494912, -60.855491584
