numberrange_x,numberrange_y
-60.2594651136, 83.5472722944
61.2413822976, -63.5736646656
-36.9741910016, -52.5275547648
61.3356137472, -25.0285768704
26.8137242624, -162.7194600448
-16.1313096888, -12.513520704
-6.993052472, -88.390232832
-30.7338085248, -29.409712896
-11.221978752, 1.699178496
-0.3669966848, -9.78992256
-18.503867392, 14.652302848
-6.50727168, -1.468545024
-3.933057536, 1.062758912
-0.883200512, -0.2523136
-0.021504, -0.006144
0.021504, 0.006144
0.883200512, 0.2523136
3.933057536, -1.062758912
6.50727168, 1.468545024
18.503867392, -14.652302848
0.3669966848, 9.78992256
11.221978752, -1.699178496
30.7338085248, 29.409712896
6.993052472, 88.390232832
16.1313096888, 12.513520704
-26.8137242624, 162.7194600448
-61.3356137472, 25.0285768704
36.9741910016, 52.5275547648
-61.2413822976, 63.5736646656
60.2594651136, -83.5472722944
-54.2335185904, 74.9898450656
55.1174357744, -57.0162374368
-33.2753929008, -47.2752992864
55.203667224, -22.5258231824
24.1325514368, -146.4476140403
-14.5184788216, -11.2620686336
-6.2936472256, -79.5512095488
-27.6603284736, -26.4688416064
-10.1003784768, 1.5297606464
-0.3303974176, -8.811230904
-16.6535809536, 13.1870725632
-5.856744704, -1.3216904224
-3.5396516864, 0.9562832192
-0.7957804608, -0.22708224
-0.0193536, -0.0055296
0.0193536, 0.0055296
0.7957804608, 0.22708224
3.5396516864, -0.9562832192
5.856744704, 1.3216904224
16.6535809536, -13.1870725632
0.3303974176, 8.811230904
10.1003784768, -1.5297606464
27.6603284736, 26.4688416064
6.2936472256, 79.5512095488
14.5184788216, 11.2620686336
-24.1325514368, 146.4476140403
-55.203667224, 22.5258231824
33.2753929008, 47.2752992864
-55.1174357744, 57.0162374368
54.2335185904, -74.9898450656
-48.2075720672, 66.4314178368
48.9934892512, -50.458810208
-29.5765948, -41.023043808
48.0717207008, -19.0230694944
21.4513785872, -130.1757679368
-12.9056489544, -9.0106165624
-5.5942419792, -70.7121862656
-24.5868484224, -23.5279703168
-8.9787782016, 1.3603427968
-0.2937981504, -7.832539248
-14.8032945152, 11.7218422784
-5.206217728, -1.1768358208
-3.1462458368, 0.8508075264
-0.7083604096, -0.20185088
-0.0172032, -0.0049152
0.0172032, 0.0049152
0.7083604096, 0.20185088
3.1462458368, -0.8508075264
5.206217728, 1.1768358208
14.8032945152, -11.7218422784
0.2937981504, 7.832539248
8.9787782016, -1.3603427968
24.5868484224, 23.5279703168
5.5942419792, 70.7121862656
12.9056489544, 9.0106165624
-21.4513785872, 130.1757679368
-48.0717207008, 19.0230694944
29.5765948, 41.023043808
-48.9934892512, 50.458810208
48.2075720672, -66.4314178368
-42.181625544, 57.873090608
42.869542728, -43.9013829792
-25.8777966992, -34.7707883296
40.9397741776, -15.5203158064
18.7702057376, -113.9040218317
-11.2928190872, -6.7591644912
-4.8948367328, -61.8731629824
-21.5133683712, -20.5870988272
-7.8571779264, 1.1909250472
-0.2571988832, -6.853847592
